signal	files
DTCI_DTCFailType_78A : 39|8@0+ (1,0) [0|255] ""  TestTool_FO	File(s):cadillac_ct6_object.dbc
DTCI_DTCFaultType_78A : 55|8@0+ (1,0) [0|255] ""  TestTool_FO	File(s):cadillac_ct6_object.dbc
DTCI_DTCNumber_78A : 23|16@0+ (1,0) [0|65535] ""  TestTool_FO	File(s):cadillac_ct6_object.dbc
DTCI_DTCSource_78A : 15|8@0+ (1,0) [0|255] ""  TestTool_FO	File(s):cadillac_ct6_object.dbc
DTCI_DTCTriggered_78A : 0|1@0+ (1,0) [0|1] ""  TestTool_FO	File(s):cadillac_ct6_object.dbc
Driver_Sunload_Raw : 7|8@0+ (5.0,0) [0|0] "W/m^2" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Driver_Temp_Decrement : 21|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Driver_Temp_Increment : 22|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
DriverDoorOpened : 0|1@0+ (1,0) [0|0] ""  NEO	File(s):gm_global_a_lowspeed.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, mercedes_benz_e350_2010.dbc, toyota_iQ_2009_can.dbc, toyota_prius_2010_pt.dbc, luxgen_s5_2015.dbc
ENG_SPD : 23|16@0+ (0.25,0) [0|0] "RPM" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
EngineCoolantTemp : 23|8@0+ (1,-40) [0|0] "C"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
EngineRPM : 13|14@0+ (0.25,0) [0|0] "RPM" NEO	File(s):gm_global_a_powertrain.dbc, cadillac_ct6_powertrain.dbc
EngineTPS : 39|8@0+ (0.392156863,0) [0|100.000000065] "%"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
Engine_RPM : 16|12@1+ (1,0) [0|4095] "" XXX	File(s):subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc
ESP_wheelSpeedFrL_HS : 0|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
ESP_wheelSpeedFrR_HS : 13|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
ESP_wheelSpeedReL_HS : 26|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
ESP_wheelSpeedReR_HS : 39|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
FCWAlert : 41|2@0+ (1,0) [0|3] "" XXX	File(s):gm_global_a_powertrain.dbc
FLWheelSpd : 7|16@0+ (0.0311,0) [0|255] "km/h"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
FRWheelSpd : 23|16@0+ (0.0311,0) [0|255] "km/h"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
Front_AUTO_Soft_Btn_Stt : 24|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Blower_Decrement : 23|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
